date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+rfh+num,#indicator+rfh_avg+num,#indicator+r1h+num,#indicator+r1h_avg+num,#indicator+r3h+num,#indicator+r3h_avg+num,#indicator+rfq+pct,#indicator+r1q+pct,#indicator+r3q+pct,#status
2020-01-01,28425,UG4113,56.0,17.125,12.4708,53.2857,61.4345,357.625,334.2601,126.6396,88.5926,106.787,final
2020-01-11,28425,UG4113,56.0,6.5714,12.6024,44.9107,50.8964,289.9286,295.0661,65.7379,90.1707,98.3159,final
2020-01-21,28425,UG4113,56.0,14.1071,12.9107,37.8036,37.9839,249.2321,247.8,106.68,99.6241,100.5555,final
2020-02-01,28425,UG4113,56.0,14.7321,13.3226,35.4107,38.8357,225.3214,211.003,107.6928,92.9867,106.4789,final
2020-02-11,28425,UG4113,56.0,13.3571,15.1405,42.1964,41.3738,194.0536,182.5077,91.1455,101.6012,105.9976,final
2020-02-21,28425,UG4113,56.0,14.0357,15.5488,42.125,44.0119,140.2679,161.9786,92.6366,96.5065,87.3759,final
2020-03-01,28425,UG4113,56.0,22.6071,31.8476,50.0,62.5369,138.6964,162.8071,74.9225,82.7165,86.0476,final
2020-03-11,28425,UG4113,56.0,39.6071,31.578,76.25,78.9744,163.3571,171.2446,121.9508,96.938,95.6481,final
2020-03-21,28425,UG4113,56.0,47.2143,46.3054,109.4286,109.731,189.3571,191.7268,101.7716,99.7474,98.8253,final
2020-04-01,28425,UG4113,56.0,22.4821,50.5244,109.3036,128.4077,194.7143,229.7804,49.4956,86.1972,85.3758,final
2020-04-11,28425,UG4113,56.0,53.5893,51.2107,123.2857,148.0405,241.7321,268.3887,104.2315,84.3364,90.4247,final
2020-04-21,28425,UG4113,56.0,89.5179,50.2815,165.5893,152.0167,317.1429,305.7595,170.9754,108.3773,103.6051,final
2020-05-01,28425,UG4113,56.0,41.8571,40.3714,184.9643,141.8637,344.2679,332.8083,103.2746,128.3811,103.3428,final
2020-05-11,28425,UG4113,56.0,20.3036,31.2625,151.6786,121.9155,351.2143,348.9304,69.7789,122.5622,100.6363,final
2020-05-21,28425,UG4113,56.0,9.875,24.9518,72.0357,96.5857,347.0536,358.3333,49.6631,76.9669,96.9376,final
2020-06-01,28425,UG4113,56.0,9.8214,18.9161,40.0,75.1304,334.2679,345.4018,61.9727,58.7335,96.8672,final
2020-06-11,28425,UG4113,56.0,21.5536,14.8464,41.25,58.7143,316.2143,328.6702,133.7952,74.5842,96.3221,final
2020-06-21,28425,UG4113,56.0,22.1071,14.1625,53.4821,47.925,291.1071,296.5274,141.4593,109.5937,98.2317,final
2020-07-01,28425,UG4113,56.0,6.3393,9.8393,50.0,38.8482,274.9643,255.8423,76.414,122.8295,107.193,final
2020-07-11,28425,UG4113,56.0,15.1964,8.7976,43.6429,32.7994,236.5714,213.4292,146.3762,125.3355,110.3578,final
2020-07-21,28425,UG4113,56.0,5.5,18.0524,27.0357,36.6893,152.5536,181.2,45.5484,79.3238,85.0176,final
2020-08-01,28425,UG4113,56.0,14.8571,29.7155,35.5536,56.5655,125.5536,170.544,57.1997,68.4342,75.0806,final
2020-08-11,28425,UG4113,56.0,40.3214,33.6768,60.6786,81.4446,145.5714,172.9583,117.1799,77.2911,85.0311,final
2020-08-21,28425,UG4113,56.0,42.8393,41.8107,98.0179,105.203,178.5357,189.8173,102.1973,93.7631,94.3541,final
2020-09-01,28425,UG4113,56.0,20.4464,43.8018,103.6071,119.2893,189.1607,214.703,52.1424,87.8705,88.6329,final
2020-09-11,28425,UG4113,56.0,45.5536,41.3054,108.8393,126.9179,213.1607,241.1619,109.1743,86.796,88.8513,final
2020-09-21,28425,UG4113,56.0,49.3036,45.731,115.3036,130.8381,240.3571,272.7304,107.0423,88.9699,88.5498,final
2020-10-01,28425,UG4113,56.0,49.9107,52.4679,144.7679,139.5042,283.9286,315.3589,95.5503,103.5208,90.3398,final
2020-10-11,28425,UG4113,56.0,66.0179,51.7964,165.2321,149.9952,334.75,358.3577,125.0393,109.5233,93.5911,final
2020-10-21,28425,UG4113,56.0,82.3571,60.1768,198.2857,164.4411,411.6071,400.4821,134.0311,119.4018,102.7102,final
2020-11-01,28425,UG4113,56.0,35.1607,50.1196,183.5357,162.0929,431.9107,420.8863,72.861,112.4601,102.5585,final
2020-11-11,28425,UG4113,56.0,42.125,43.6357,159.6429,153.9321,433.7143,430.8452,96.8938,103.4836,100.6508,final
2020-11-21,28425,UG4113,56.0,43.9643,36.078,121.25,129.8333,434.8393,425.1125,119.1984,93.8617,102.2355,final
2020-12-01,28425,UG4113,56.0,52.7143,31.019,138.8036,110.7327,467.1071,412.3298,160.2327,123.2504,112.9703,final
2020-12-11,28425,UG4113,56.0,16.8214,23.1405,113.5,90.2375,438.375,394.1649,77.5446,123.2074,110.9386,final
2020-12-21,28425,UG4113,56.0,43.375,25.8232,112.9107,79.9827,432.4464,374.2571,156.9434,136.5937,115.1433,final
2021-01-01,28425,UG4113,56.0,21.5536,12.4708,81.75,61.4345,404.0893,334.2601,151.988,128.4393,120.2838,final
2021-01-11,28425,UG4113,56.0,12.3214,12.6024,77.25,50.8964,350.3929,295.0661,98.4039,143.2761,118.136,final
2021-01-21,28425,UG4113,56.0,9.8929,12.9107,43.7679,37.9839,277.9286,247.8,83.1505,112.0539,111.6868,final
2021-02-01,28425,UG4113,56.0,4.9821,13.3226,27.1964,38.8357,247.75,211.003,54.4799,76.1664,116.6274,final
2021-02-11,28425,UG4113,56.0,29.4643,15.1405,44.3393,41.3738,235.0893,182.5077,171.1195,105.7724,127.314,final
2021-02-21,28425,UG4113,56.0,4.4107,15.5488,38.8571,44.0119,195.5357,161.9786,45.7969,90.4562,119.5124,final
2021-03-01,28425,UG4113,56.0,54.4464,31.8476,88.3214,62.5369,197.2679,162.8071,161.3304,135.5468,119.9417,final
2021-03-11,28425,UG4113,56.0,43.9107,31.578,102.7679,78.9744,224.3571,171.2446,133.7163,126.7419,129.3043,final
2021-03-21,28425,UG4113,56.0,25.3214,46.3054,123.6786,109.731,206.3036,191.7268,59.0999,111.6491,107.226,final
2021-04-01,28425,UG4113,56.0,26.9643,50.5244,96.1964,128.4077,211.7143,229.7804,57.568,76.7272,92.4656,final
2021-04-11,28425,UG4113,56.0,58.1607,51.2107,110.4464,148.0405,257.5536,268.3887,112.3642,76.2124,96.1079,final
2021-04-21,28425,UG4113,56.0,54.6429,50.2815,139.7679,152.0167,302.3036,305.7595,107.8893,92.4398,98.9055,final
2021-05-01,28425,UG4113,56.0,22.9643,40.3714,135.7679,141.8637,320.2857,332.8083,61.6341,95.986,96.347,final
2021-05-11,28425,UG4113,56.0,28.6964,31.2625,106.3036,121.9155,319.5179,348.9304,92.9236,88.1652,91.8055,final
2021-05-21,28425,UG4113,56.0,10.0357,24.9518,61.6964,96.5857,325.1429,358.3333,50.1997,67.2665,90.989,final
2021-06-01,28425,UG4113,56.0,14.5893,18.9161,53.3214,75.1304,285.2857,345.4018,81.9085,74.3817,83.085,final
2021-06-11,28425,UG4113,56.0,19.0714,14.8464,43.6964,58.7143,260.4464,328.6702,121.2885,78.1445,79.8554,final
2021-06-21,28425,UG4113,56.0,6.2857,14.1625,39.9464,47.925,241.4107,296.5274,58.8948,86.226,82.019,final
2021-07-01,28425,UG4113,56.0,18.1071,9.8393,43.4643,38.8482,232.5536,255.8423,155.716,109.4498,91.2397,final
2021-07-11,28425,UG4113,56.0,7.6964,8.7976,32.0893,32.7994,182.0893,213.4292,92.019,98.3408,85.9732,final
2021-07-21,28425,UG4113,56.0,2.0893,18.0524,27.8929,36.6893,129.5357,181.2,30.7529,81.1596,72.9789,final
2021-08-01,28425,UG4113,56.0,34.125,29.7155,43.9107,56.5655,140.6964,170.544,112.7019,80.989,83.468,final
2021-08-11,28425,UG4113,56.0,35.5179,33.6768,71.7321,81.4446,147.5179,172.9583,104.7601,89.3788,86.0949,final
2021-08-21,28425,UG4113,56.0,45.4286,41.8107,115.0714,105.203,182.9107,189.8173,107.7287,108.5661,96.5436,final
2021-09-01,28425,UG4113,56.0,30.625,43.8018,111.5714,119.2893,198.9464,214.703,72.9994,94.0306,92.9878,final
2021-09-11,28425,UG4113,56.0,41.375,41.3054,117.4286,126.9179,221.25,241.1619,100.1504,93.0694,92.0721,final
2021-09-21,28425,UG4113,56.0,44.3929,45.731,116.3929,130.8381,259.3571,272.7304,97.3624,89.7434,95.27,final
2021-10-01,28425,UG4113,56.0,70.2679,52.4679,156.0357,139.5042,311.5179,315.3589,130.9738,111.0576,98.8194,final
2021-10-11,28425,UG4113,56.0,48.5,51.7964,163.1607,149.9952,352.3214,358.3577,94.1961,108.2287,98.3613,final
2021-10-21,28425,UG4113,56.0,53.8571,60.1768,172.625,164.4411,404.0893,400.4821,90.3038,104.6915,100.8788,final
2021-11-01,28425,UG4113,56.0,65.875,50.1196,168.2321,162.0929,435.8393,420.8863,128.5839,103.5674,103.4703,final
2021-11-11,28425,UG4113,56.0,41.1964,43.6357,160.9286,153.9321,441.5179,430.8452,94.9846,104.2679,102.4209,final
2021-11-21,28425,UG4113,56.0,25.0893,36.078,132.1607,129.8333,421.1786,425.1125,73.2492,101.6644,99.0959,final
2021-12-01,28425,UG4113,56.0,23.9286,31.019,90.2143,110.7327,414.4821,412.3298,80.3146,83.0051,100.5096,final
2021-12-11,28425,UG4113,56.0,41.5714,23.1405,90.5893,90.2375,414.6786,394.1649,165.4962,100.351,105.0756,final
2021-12-21,28425,UG4113,56.0,45.25,25.8232,110.75,79.9827,415.5357,374.2571,163.0265,134.1924,110.7424,final
2022-01-01,28425,UG4113,56.0,7.0179,12.4708,93.8393,61.4345,352.2857,334.2601,68.7881,145.3629,105.236,final
2022-01-11,28425,UG4113,56.0,26.8214,12.6024,79.0893,50.8964,330.6071,295.0661,180.7791,146.2964,111.6503,final
2022-01-21,28425,UG4113,56.0,8.0714,12.9107,41.9107,37.9839,284.8214,247.8,72.9811,108.1835,114.3605,final
2022-02-01,28425,UG4113,56.0,23.7679,13.3226,58.6607,38.8357,242.7143,211.003,157.0073,140.5953,114.3488,final
2022-02-11,28425,UG4113,56.0,22.3571,15.1405,54.1964,41.3738,223.875,182.5077,135.8317,124.9594,121.4886,final
2022-02-21,28425,UG4113,56.0,15.8036,15.5488,61.9286,44.0119,214.5893,161.9786,101.2398,133.1717,130.5914,final
2022-03-01,28425,UG4113,56.0,31.6964,31.8476,69.8571,62.5369,222.3571,162.8071,99.5897,110.0917,134.4604,final
2022-03-11,28425,UG4113,56.0,33.1071,31.578,80.6071,78.9744,213.8929,171.2446,104.1806,101.8351,123.5307,final
2022-03-21,28425,UG4113,56.0,61.0893,46.3054,125.8929,109.731,229.7321,191.7268,128.8156,113.4985,118.84,final
2022-04-01,28425,UG4113,56.0,33.2679,50.5244,127.4643,128.4077,255.9821,229.7804,68.9208,99.3184,110.9274,final
2022-04-11,28425,UG4113,56.0,65.0,51.2107,159.3571,148.0405,294.1607,268.3887,124.5314,107.1606,109.2576,final
2022-04-21,28425,UG4113,56.0,70.2679,50.2815,168.5357,152.0167,356.3571,305.7595,136.1537,110.1959,116.0241,final
2022-05-01,28425,UG4113,56.0,11.5536,40.3714,146.8214,141.8637,344.1429,332.8083,36.4846,103.2646,103.3064,final
2022-05-11,28425,UG4113,56.0,21.3214,31.2625,103.1429,121.9155,343.1071,348.9304,72.5858,85.7692,98.3776,final
2022-05-21,28425,UG4113,56.0,69.4643,24.9518,102.3393,96.5857,396.7679,358.3333,248.6138,105.3981,110.4347,final
2022-06-01,28425,UG4113,56.0,5.1786,18.9161,95.9643,75.1304,370.25,345.4018,42.5595,124.473,106.9916,final
